Key,English,Traditional Chinese,Thai,Vietnamese,Indonesia,Brazilian Portuguese,Spanish,Russian,French,German,Turkish,Hindi,Romanian,Arabic,Bengali
GAME_NAME,,,,,,,,,,,,,,,
GAME_DESCRIPTION,,,,,,,,,,,,,,,
